,Price,Rooms,Area,Floor,Max_house_floor,balcony\loggia,Bathroom,Year built,Link
124,5200000,2,62,14,25,,раздельный,2014,https://www.avito.ru/perm/kvartiry/2-k._kvartira_62m_1425et._2170300058
125,4600000,2,43,1,9,,,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_43m_19et._2396524231
126,4050000,2,52,4,10,,раздельный,1993,https://www.avito.ru/perm/kvartiry/2-k._kvartira_52m_410et._2136858736
127,7950000,3,86.4,9,14,лоджия,раздельный,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_864m_914et._2377396236
128,4400000,1,34.1,23,25,лоджия,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_341m_2325et._2412834287
129,1500000,1,21,4,5,,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_21m_45et._2356144480
130,2600000,2,40,1,2,,совмещенный,1958,https://www.avito.ru/perm/kvartiry/2-k._kvartira_40m_12et._2410632334
131,3400000,2,48.5,3,3,балкон,совмещенный,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_485m_33et._2382157416
132,5600000,2,52,3,9,лоджия,совмещенный,1988,https://www.avito.ru/perm/kvartiry/2-k._kvartira_52m_39et._2385373032
133,4000000,3,63.1,2,5,балкон,раздельный,1963,https://www.avito.ru/perm/kvartiry/3-k._kvartira_631m_25et._2394463789
134,3499000,1,38.1,4,10,лоджия,раздельный,2005,https://www.avito.ru/perm/kvartiry/1-k._kvartira_381m_410et._2378107882
135,11100000,3,110.4,12,25,балкон,раздельный,2018,https://www.avito.ru/perm/kvartiry/3-k._kvartira_1104m_1225et._2320403130
136,3100000,1,34,3,10,лоджия,раздельный,2006,https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_310et._2360368511
137,2160000,1,28.6,4,5,балкон,совмещенный,1965,https://www.avito.ru/perm/kvartiry/1-k._kvartira_286m_45et._2352814636
138,2850000,1,30,7,10,лоджия,совмещенный,2011,https://www.avito.ru/perm/kvartiry/1-k._kvartira_30m_710et._2355599547
139,4600000,3,73.3,3,4,балкон,раздельный,1958,https://www.avito.ru/perm/kvartiry/3-k._kvartira_733m_34et._2394612176
140,2750000,1,42.1,1,16,лоджия,совмещенный,2021,https://www.avito.ru/perm/kvartiry/1-k._kvartira_421m_116et._2309073062
141,7700000,3,86,14,14,лоджия,совмещенный,2019,https://www.avito.ru/perm/kvartiry/3-k._kvartira_86m_1414et._2329389998
142,2399000,1,30.9,4,5,балкон,совмещенный,1971,https://www.avito.ru/perm/kvartiry/1-k._kvartira_309m_45et._2393222188
143,4700000,2,60.1,9,16,,раздельный,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_601m_916et._2360016910
144,2200000,2,39.2,1,2,,совмещенный,1957,https://www.avito.ru/perm/kvartiry/2-k._kvartira_392m_12et._2393184884
145,3800000,1,36.9,16,25,лоджия,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_369m_1625et._2360678426
146,5350000,2,70.1,19,25,лоджия,раздельный,2012,https://www.avito.ru/perm/kvartiry/2-k._kvartira_701m_1925et._2417325927
147,5120000,3,59,3,4,,раздельный,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_59m_34et._2329525012
148,4850000,1,47,2,25,,совмещенный,2010,https://www.avito.ru/perm/kvartiry/1-k._kvartira_47m_225et._2109129674
149,4399000,3,66.6,1,12,лоджия,совмещенный,1981,https://www.avito.ru/perm/kvartiry/3-k._kvartira_666m_112et._2361117203
150,3500000,3,43.1,5,5,балкон,совмещенный,1964,https://www.avito.ru/perm/kvartiry/3-k._kvartira_431m_55et._2372172292
151,3350000,2,49.6,5,12,лоджия,раздельный,1980,https://www.avito.ru/perm/kvartiry/2-k._kvartira_496m_512et._2382086793
152,6550000,2,51,4,25,лоджия,совмещенный,2018,https://www.avito.ru/perm/kvartiry/2-k._kvartira_51m_425et._2348697555
153,3800000,1,36.9,16,25,лоджия,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_369m_1625et._2360678426
154,3650000,3,54.9,7,14,лоджия,раздельный,1981,https://www.avito.ru/perm/kvartiry/3-k._kvartira_549m_714et._2378879140
155,5350000,2,70.1,19,25,,,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_701m_1925et._2417325927
156,5120000,3,59,3,4,,раздельный,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_59m_34et._2329525012
157,2399000,1,30.9,4,5,балкон,совмещенный,1971,https://www.avito.ru/perm/kvartiry/1-k._kvartira_309m_45et._2393222188
158,7500000,1,38.5,24,25,,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_385m_2425et._2369925143
159,4000000,3,63.1,2,5,балкон,раздельный,1963,https://www.avito.ru/perm/kvartiry/3-k._kvartira_631m_25et._2394463789
160,5600000,2,52,3,9,лоджия,совмещенный,1988,https://www.avito.ru/perm/kvartiry/2-k._kvartira_52m_39et._2385373032
161,3000000,2,53.7,2,5,лоджия,раздельный,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_537m_25et._2401389928
162,6550000,3,64.5,8,10,лоджия,раздельный,1994,https://www.avito.ru/perm/kvartiry/3-k._kvartira_645m_810et._2317414530
163,4600000,2,41,2,5,,совмещенный,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_41m_25et._2396288076
164,3100000,1,31,4,5,,совмещенный,1961,https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_45et._2372006142
165,1850000,1,18,2,5,,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_18m_25et._2418274313
166,2500000,1,32,2,5,балкон,совмещенный,1960,https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_25et._2347932361
167,5500000,2,43,15,22,лоджия,совмещенный,2021,https://www.avito.ru/perm/kvartiry/2-k._kvartira_43m_1522et._2346276675
168,1750000,1,29.5,4,5,балкон,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_295m_45et._2396108924
169,3550000,1,37,4,10,лоджия,совмещенный,1994,https://www.avito.ru/perm/kvartiry/1-k._kvartira_37m_410et._2326653998
170,3765000,1,40,2,23,лоджия,совмещенный,2017,https://www.avito.ru/perm/kvartiry/1-k._kvartira_40m_223et._2417371346
171,3999000,4,61,4,5,балкон,совмещенный,1966,https://www.avito.ru/perm/kvartiry/4-k._kvartira_61m_45et._2336853466
172,3499000,1,38.1,4,10,лоджия,раздельный,2005,https://www.avito.ru/perm/kvartiry/1-k._kvartira_381m_410et._2378107882
