,Price,Rooms,Area,Floor,Max_house_floor,balcony_or_loggia,Bathroom,Year_built,District,Link
71,7700000,2,66.5,13,20,лоджия,раздельный,2018.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_665m_1320et._2389465059
72,5679000,2,60.2,5,14,лоджия,раздельный,1976.0,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_602m_514et._2341097194
73,6000000,2,56.7,14,19,лоджия,раздельный,2013.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_567m_1419et._2374062651
74,3360000,2,43.7,2,9,лоджия,раздельный,1976.0,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_437m_29et._2341920778
75,7450000,3,77.3,6,16,лоджия,раздельный,2014.0,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_773m_616et._2145285417
76,9200000,3,67.8,11,25,балкон,совмещенный,2015.0,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_678m_1125et._2420355611
77,3150000,1,31.1,3,5,балкон,раздельный,1977.0,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_311m_35et._2367746485
78,2000000,1,25.5,1,5,балкон,совмещенный,1992.0,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_255m_15et._2397559251
79,2400000,1,30.2,2,9,балкон,совмещенный,1981.0,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_302m_29et._2429569854
80,7700000,3,65.0,23,24,лоджия,раздельный,2019.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_65m_2324et._2382191749
81,5500000,3,62.0,9,9,лоджия,раздельный,1985.0,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_62m_99et._2369136722
82,3400000,1,37.4,9,17,балкон,совмещенный,2021.0,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_374m_917et._2360921230
83,6750000,3,71.1,6,16,лоджия,совмещенный,2000.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_711m_616et._2381335478
84,8500000,3,98.0,6,25,лоджия,совмещенный,2011.0,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_98m_625et._2358290374
85,4680000,2,56.0,4,5,лоджия,раздельный,1978.0,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_56m_45et._2335239570
86,3800000,2,54.8,8,14,лоджия,раздельный,1976.0,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_548m_814et._2384812205
87,8700000,3,63.6,6,6,лоджия,совмещенный,2019.0,Ленинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_636m_66et._2310726099
88,3300000,1,33.0,1,6,балкон,совмещенный,2015.0,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_33m_16et._2339922417
89,5299000,1,44.0,11,17,лоджия,совмещенный,1987.0,Ленинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_44m_1117et._2379240241
90,8200000,3,60.2,19,25,лоджия,совмещенный,2011.0,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_602m_1925et._2421332411
91,2799990,1,31.0,7,10,лоджия,совмещенный,2011.0,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_710et._2355599547
92,2350000,1,31.0,3,5,лоджия,совмещенный,1961.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_35et._2391007456
93,6390000,3,81.0,3,10,лоджия,совмещенный,2006.0,Дзержинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_81m_310et._2416392208
94,5350000,3,74.3,16,19,балкон,раздельный,2017.0,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_743m_1619et._2366200756
95,2800000,2,43.0,4,4,балкон,совмещенный,1960.0,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_43m_44et._2372334244
96,3280000,3,60.6,5,5,балкон,раздельный,1968.0,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_606m_55et._2370292862
97,4760000,3,60.2,8,9,лоджия,совмещенный,1972.0,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_602m_89et._2380691668
98,2500000,1,29.8,3,5,балкон,совмещенный,1971.0,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_298m_35et._2366533648
99,5500000,2,50.0,2,10,лоджия,совмещенный,1989.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_50m_210et._2379640922
100,2790000,1,30.4,2,6,балкон,совмещенный,1970.0,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_304m_26et._2391893644
101,3960000,3,60.7,2,5,балкон,раздельный,1967.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_607m_25et._2194821487
102,7300000,3,83.6,6,16,лоджия,совмещенный,2007.0,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_836m_616et._2363938049
103,2599000,1,29.0,7,10,балкон,совмещенный,1969.0,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_29m_710et._2356163420
104,4400000,3,63.0,4,4,балкон,совмещенный,1953.0,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_63m_44et._2425986940
105,3600000,3,60.1,2,5,балкон,совмещенный,1991.0,Кировский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_601m_25et._2401108024
106,4700000,2,63.5,15,16,лоджия,раздельный,2021.0,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_635m_1516et._2419873328
107,6300000,2,56.7,7,9,балкон,совмещенный,2003.0,Ленинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_567m_79et._2407449620
108,2150000,1,31.9,8,9,лоджия,раздельный,1988.0,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_319m_89et._2402134029
109,3600000,1,35.0,2,4,балкон,совмещенный,2019.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_24et._2361280829
110,3600000,4,61.5,5,5,балкон,раздельный,1970.0,Индустриальный,https://www.avito.ru/perm/kvartiry/4-k._kvartira_615m_55et._2402658750
111,3990000,2,54.4,1,16,лоджия,раздельный,1995.0,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_544m_116et._2358019856
