,Price,Rooms,Area,Floor,Max_house_floor,balcony\loggia,Bathroom,Year built,District,Link
154,2750000,1,32,2,5,,,,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_25et._2382379502
155,7000000,2,75,3,18,лоджия,совмещенный,2007,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_75m_318et._2350558734
156,6100000,2,66,6,17,балкон,совмещенный,2012,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_66m_617et._2372722957
157,4700000,3,66.5,10,16,балкон,раздельный,1986,Кировский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_665m_1016et._2276459201
158,3950000,3,60.6,1,5,,раздельный,1979,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_606m_15et._2337152413
159,2600000,2,44.5,5,5,балкон,совмещенный,1968,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_445m_55et._2382513867
160,7500000,2,51.8,4,6,,совмещенный,,Ленинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_518m_46et._2400275818
161,2650000,2,43.2,4,5,балкон,совмещенный,,Кировский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_432m_45et._2428469359
162,3200000,2,42.8,5,5,балкон,совмещенный,1970,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_428m_55et._2353073044
163,3700000,3,57.3,3,9,балкон,раздельный,,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_573m_39et._2378521905
164,4500000,2,52.9,3,9,лоджия,раздельный,1986,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_529m_39et._2383144941
165,7700000,2,66.5,13,20,лоджия,раздельный,2018,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_665m_1320et._2389465059
166,5679000,2,60.2,5,14,лоджия,раздельный,1976,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_602m_514et._2341097194
167,6000000,2,56.7,14,19,лоджия,раздельный,2013,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_567m_1419et._2374062651
168,2990000,2,44,5,5,балкон,раздельный,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_55et._2401543911
169,2950000,1,31.6,4,5,балкон,раздельный,,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_316m_45et._2401105181
170,2199000,1,30,2,5,,совмещенный,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_30m_25et._2384365626
171,1540000,1,19,2,5,,совмещенный,1963,Индустриальный,https://www.avito.ru/perm/kvartiry/kvartira-studiya_19m_25et._2421355238
172,850000,1,12,2,9,,раздельный,1984,Ленинский,https://www.avito.ru/perm/kvartiry/kvartira-studiya_12m_29et._2373471328
173,3360000,2,43.7,2,9,лоджия,раздельный,1976,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_437m_29et._2341920778
174,1550000,1,60.5,1,2,,,,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_605m_12et._1799893783
175,7450000,3,77.3,6,16,лоджия,раздельный,2014,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_773m_616et._2145285417
176,9200000,3,67.8,11,25,балкон,совмещенный,2015,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_678m_1125et._2420355611
177,3150000,1,31.1,3,5,балкон,раздельный,1977,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_311m_35et._2367746485
178,2310000,2,47,5,5,балкон,раздельный,,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_47m_55et._2356129662
179,2400000,1,36.1,8,9,лоджия,совмещенный,,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_361m_89et._2410330436
180,2000000,1,25.5,1,5,балкон,совмещенный,1992,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_255m_15et._2397559251
181,2400000,1,30.2,2,9,балкон,совмещенный,1981,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_302m_29et._2429569854
182,7700000,3,65,23,24,лоджия,раздельный,2019,Мотовилихинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_65m_2324et._2382191749
183,2900000,2,37.7,1,5,,совмещенный,1971,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_377m_15et._2341493925
