,Price,Rooms,Area,Floor,Max_house_floor,Year_built,Link
116,4050000,3,60.1,1,9,1975,https://www.avito.ru/perm/kvartiry/3-k._kvartira_601m_19et._2354723897
117,3587000,2,41.9,5,5,1961,https://www.avito.ru/perm/kvartiry/2-k._kvartira_419m_55et._2171447960
118,3650000,1,27.0,2,5,2020,https://www.avito.ru/perm/kvartiry/kvartira-studiya_27m_925et._2287881408
119,3390000,1,40.1,5,12,2018,https://www.avito.ru/perm/kvartiry/1-k._kvartira_401m_512et._2412386618
120,3150000,2,40.0,4,5,1960,https://www.avito.ru/perm/kvartiry/2-k._kvartira_40m_45et._2277430925
121,3900000,3,59.0,3,5,1964,https://www.avito.ru/perm/kvartiry/3-k._kvartira_59m_35et._2325450515
122,3200000,1,30.4,3,5,2021,https://www.avito.ru/perm/kvartiry/kvartira-studiya_304m_420et._2384230433
123,2650000,1,32.0,4,5,1966,https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_45et._2393058614
124,2800000,1,32.0,1,5,1966,https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_15et._2373013788
125,5790000,3,71.0,4,16,1995,https://www.avito.ru/perm/kvartiry/3-k._kvartira_71m_416et._2383413115
126,5900000,3,66.7,3,10,1987,https://www.avito.ru/perm/kvartiry/3-k._kvartira_667m_310et._2417156747
127,2499000,2,44.0,2,5,1966,https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_25et._2377415187
128,1980000,1,30.4,2,5,1967,https://www.avito.ru/perm/kvartiry/1-k._kvartira_304m_25et._2394539689
129,3100000,2,47.4,2,5,1969,https://www.avito.ru/perm/kvartiry/2-k._kvartira_474m_25et._2394616340
130,3550000,2,41.0,5,5,1972,https://www.avito.ru/perm/kvartiry/2-k._kvartira_41m_55et._2319348169
131,2690000,1,34.4,4,9,1986,https://www.avito.ru/perm/kvartiry/1-k._kvartira_344m_49et._2370693276
132,2200000,2,46.0,1,5,1990,https://www.avito.ru/perm/kvartiry/2-k._kvartira_46m_15et._2394724083
133,3100000,2,58.5,4,9,2008,https://www.avito.ru/perm/kvartiry/2-k._kvartira_585m_49et._2392741478
134,2000000,1,21.9,1,9,1983,https://www.avito.ru/perm/kvartiry/1-k._kvartira_219m_19et._2347128425
135,4130000,3,67.5,9,9,1992,https://www.avito.ru/perm/kvartiry/3-k._kvartira_675m_99et._2363232076
136,2625000,1,30.7,1,5,1961,https://www.avito.ru/perm/kvartiry/1-k._kvartira_307m_15et._2373627789
137,6990000,3,72.0,7,10,2000,https://www.avito.ru/perm/kvartiry/3-k._kvartira_72m_710et._2179619907
138,2550000,1,31.5,2,5,1972,https://www.avito.ru/perm/kvartiry/1-k._kvartira_315m_25et._2410279249
139,3500000,1,37.0,1,9,2013,https://www.avito.ru/perm/kvartiry/1-k._kvartira_37m_19et._2310630742
