,Price,Rooms,Area,Floor,Max_house_floor,Year_built,balcony_or_loggia_балкон,balcony_or_loggia_лоджия,Bathroom_раздельный,Bathroom_совмещенный,District_Дзержинский,District_Индустриальный,District_Кировский,District_Ленинский,District_Мотовилихинский,District_Орджоникидзевский,District_Свердловский
102,7300000,3,83.6,6,16,2007.0,0,1,0,1,0,0,0,0,0,0,1
103,2599000,1,29.0,7,10,1969.0,1,0,0,1,0,0,0,0,0,0,1
104,4400000,3,63.0,4,4,1953.0,1,0,0,1,0,0,0,0,0,0,1
105,3600000,3,60.1,2,5,1991.0,1,0,0,1,0,0,1,0,0,0,0
106,4700000,2,63.5,15,16,2021.0,0,1,1,0,1,0,0,0,0,0,0
107,6300000,2,56.7,7,9,2003.0,1,0,0,1,0,0,0,1,0,0,0
108,2150000,1,31.9,8,9,1988.0,0,1,1,0,0,1,0,0,0,0,0
109,3600000,1,35.0,2,4,2019.0,1,0,0,1,0,0,0,0,1,0,0
110,3600000,4,61.5,5,5,1970.0,1,0,1,0,0,1,0,0,0,0,0
111,3990000,2,54.4,1,16,1995.0,0,1,1,0,1,0,0,0,0,0,0
112,5700000,3,60.2,14,25,2019.0,0,1,1,0,0,0,0,0,0,0,1
113,8500000,4,89.0,14,15,2021.0,0,1,1,0,0,1,0,0,0,0,0
114,6900000,4,75.4,8,9,1981.0,0,1,1,0,0,0,0,1,0,0,0
115,5100000,3,60.7,2,9,1977.0,0,1,1,0,0,1,0,0,0,0,0
116,3600000,2,44.6,3,5,1962.0,1,0,0,1,0,0,0,0,0,0,1
117,3500000,3,46.5,1,5,1966.0,1,0,1,0,1,0,0,0,0,0,0
118,3200000,5,32.4,5,5,1968.0,1,0,1,0,0,0,0,1,0,0,0
119,5690000,2,50.4,5,13,2021.0,0,1,0,1,0,0,0,0,1,0,0
120,2520000,1,30.2,2,5,1969.0,1,0,1,0,0,1,0,0,0,0,0
121,2700000,1,38.0,4,10,2001.0,0,1,1,0,1,0,0,0,0,0,0
122,4800000,2,42.7,17,25,2022.0,1,0,0,1,0,1,0,0,0,0,0
123,1820000,2,37.4,5,5,1983.0,1,0,0,1,0,0,1,0,0,0,0
124,2890000,1,35.0,6,18,2016.0,0,1,0,1,0,0,0,0,0,1,0
125,4870100,4,81.2,10,10,1989.0,0,1,1,0,0,1,0,0,0,0,0
126,9700000,3,77.0,9,20,2018.0,0,1,1,0,0,0,0,0,0,0,1
127,2990000,2,46.0,3,5,1965.0,1,0,0,1,0,0,0,0,0,0,1
128,2150000,1,27.4,6,9,1992.0,1,0,0,1,1,0,0,0,0,0,0
129,4500000,2,43.5,6,9,1979.0,0,1,1,0,1,0,0,0,0,0,0
130,3370000,1,35.4,10,10,1993.0,1,0,1,0,0,0,0,0,0,0,1
131,8999000,3,73.8,7,17,2013.0,1,0,0,1,0,0,0,0,0,0,1
132,2750000,1,42.0,5,17,2012.0,1,0,1,0,0,0,0,0,0,1,0
133,4594000,1,41.4,14,17,1987.0,0,1,1,0,0,0,0,1,0,0,0
134,3930000,3,61.2,5,5,1971.0,1,0,0,1,0,0,0,0,0,0,1
135,4300000,3,61.0,9,9,1976.0,1,0,1,0,0,1,0,0,0,0,0
136,3500000,1,38.2,5,5,2008.0,0,1,1,0,0,0,0,0,1,0,0
137,3150000,1,32.0,14,17,2016.0,0,1,0,1,0,0,1,0,0,0,0
138,4650000,1,40.0,17,25,2021.0,0,1,0,1,0,1,0,0,0,0,0
139,5100000,3,60.6,8,9,1982.0,0,1,1,0,0,0,0,0,0,0,1
140,3450000,1,34.6,2,10,1990.0,0,1,1,0,0,1,0,0,0,0,0
141,5200000,2,47.0,11,16,2022.0,0,1,0,1,1,0,0,0,0,0,0
142,9750000,3,98.0,11,15,2015.0,0,1,0,1,1,0,0,0,0,0,0
143,3980000,1,34.0,11,25,2022.0,1,0,0,1,0,1,0,0,0,0,0
144,3500000,1,33.5,2,9,1976.0,1,0,0,1,1,0,0,0,0,0,0
145,6750000,4,72.9,10,14,1981.0,0,1,1,0,0,1,0,0,0,0,0
146,3900000,2,42.0,3,3,2019.0,1,0,0,1,0,0,0,0,1,0,0
147,3550000,1,33.2,12,16,2005.0,0,1,0,1,1,0,0,0,0,0,0
148,4500000,2,52.4,10,10,1996.0,0,1,1,0,0,1,0,0,0,0,0
149,6999000,3,71.3,4,16,1993.0,0,1,1,0,0,1,0,0,0,0,0
150,2480000,3,47.2,3,5,1979.0,1,0,1,0,0,0,0,0,0,1,0
151,2799000,1,34.5,2,9,1986.0,1,0,1,0,0,0,0,0,1,0,0
152,3450000,2,47.8,5,5,1990.0,1,0,1,0,0,0,0,0,1,0,0
153,4500000,3,62.0,8,9,1996.0,0,1,0,1,0,0,0,0,0,1,0
154,5900000,2,62.4,9,25,2021.0,0,1,0,1,0,0,0,0,0,0,1
155,5500000,3,84.6,16,16,2010.0,0,1,1,0,0,0,0,0,0,0,1
156,3390000,1,31.8,5,5,1966.0,1,0,0,1,0,0,0,0,0,0,1
157,8500000,3,101.3,5,10,2001.0,0,1,1,0,1,0,0,0,0,0,0
158,5199999,1,48.1,17,20,2018.0,0,1,0,1,0,0,0,0,0,0,1
159,5350000,2,62.0,2,16,2013.0,0,1,1,0,0,1,0,0,0,0,0
160,3500000,2,56.0,9,10,2014.0,0,1,1,0,0,0,0,0,0,1,0
161,3600000,2,44.2,8,9,1973.0,1,0,0,1,0,0,0,0,0,0,1
162,5290000,2,71.1,10,10,1999.0,0,1,1,0,0,0,0,0,0,0,1
163,3450000,2,45.9,7,9,1978.0,0,1,1,0,0,0,0,0,0,0,1
164,11665000,3,111.0,4,10,1997.0,0,1,0,1,0,0,0,1,0,0,0
165,14950000,4,136.0,20,25,2013.0,0,1,1,0,0,0,0,0,0,0,1
166,7250000,3,95.7,10,16,2019.0,0,1,1,0,0,0,0,0,0,1,0
167,4350000,1,48.4,21,25,2016.0,0,1,0,1,0,0,0,0,1,0,0
168,6500000,4,73.6,5,9,1982.0,1,0,1,0,1,0,0,0,0,0,0
169,10000000,2,40.7,4,8,2019.0,0,1,0,1,0,0,0,1,0,0,0
170,2900000,2,44.0,5,5,1973.0,1,0,0,1,0,0,0,0,0,0,1
171,2780000,2,45.0,5,5,1974.0,1,0,1,0,0,0,0,0,1,0,0
172,3990000,2,44.0,9,9,1977.0,0,1,0,1,1,0,0,0,0,0,0
173,6350000,2,76.9,2,13,2010.0,0,1,0,1,0,0,0,0,1,0,0
174,8398000,3,83.0,9,25,2021.0,1,0,1,0,0,1,0,0,0,0,0
175,3450000,1,32.0,3,5,1963.0,1,0,0,1,0,0,0,1,0,0,0
176,8800000,3,101.8,5,10,2001.0,0,1,1,0,1,0,0,0,0,0,0
177,5300000,2,62.2,15,17,2007.0,0,1,0,1,0,0,0,0,0,0,1
178,2950000,2,46.3,2,3,1962.0,1,0,0,1,0,0,0,0,1,0,0
179,4700000,3,70.0,9,10,2009.0,0,1,0,1,0,0,0,0,0,1,0
180,6700000,1,43.7,22,25,2021.0,0,1,0,1,0,0,0,0,0,0,1
181,3300000,2,46.6,5,5,1976.0,1,0,1,0,0,0,0,0,0,0,1
182,6300000,3,67.5,5,5,1956.0,1,0,1,0,0,0,0,0,0,0,1
183,5600000,2,56.2,6,6,2014.0,0,1,1,0,1,0,0,0,0,0,0
184,4900000,2,58.0,10,11,2015.0,0,1,1,0,0,0,0,0,1,0,0
185,4650000,3,65.0,8,9,1985.0,1,0,1,0,0,0,0,0,1,0,0
186,3700000,2,48.0,3,5,1976.0,1,0,1,0,0,0,0,0,0,0,1
187,4100000,3,59.0,1,12,1979.0,0,1,0,1,0,0,1,0,0,0,0
188,5350000,3,55.0,7,25,2018.0,0,1,1,0,0,0,0,0,0,0,1
189,3290000,1,31.6,15,17,2012.0,0,1,0,1,0,0,0,0,0,0,1
190,5900000,4,77.2,2,10,1993.0,0,1,1,0,1,0,0,0,0,0,0
191,3200000,2,45.4,2,5,1975.0,1,0,0,1,0,1,0,0,0,0,0
192,4890000,1,40.5,22,24,2016.0,0,1,0,1,0,0,0,0,1,0,0
193,7270000,3,64.0,11,18,2009.0,0,1,0,1,1,0,0,0,0,0,0
194,4900000,2,63.5,10,10,2006.0,1,0,1,0,0,0,1,0,0,0,0
195,4999000,1,37.7,2,25,2020.0,0,1,0,1,0,0,0,0,0,0,1
196,7100000,4,102.0,9,10,2005.0,0,1,1,0,0,1,0,0,0,0,0
197,3249000,1,37.0,5,10,1989.0,1,0,1,0,1,0,0,0,0,0,0
198,2500000,1,30.2,4,4,1963.0,1,0,0,1,1,0,0,0,0,0,0
199,3395000,2,45.0,4,5,1972.0,1,0,1,0,0,1,0,0,0,0,0
200,1850000,1,34.2,5,5,2015.0,1,0,0,1,0,0,0,0,0,1,0
201,3700000,2,44.0,1,9,1981.0,1,0,1,0,1,0,0,0,0,0,0
202,3700000,2,44.0,7,9,1976.0,0,1,1,0,1,0,0,0,0,0,0
203,5000000,2,46.0,16,25,2021.0,0,1,0,1,0,0,0,0,0,0,1
204,3050000,2,43.9,4,5,1973.0,1,0,1,0,0,0,0,0,1,0,0
205,3950000,1,36.0,4,10,1987.0,0,1,1,0,0,0,0,0,0,0,1
206,3050000,2,43.3,1,9,1978.0,0,1,1,0,0,0,0,0,0,0,1
207,2900000,1,34.0,3,9,1978.0,1,0,0,1,0,0,0,0,0,0,1
208,6100000,3,69.2,5,9,1984.0,0,1,0,1,0,0,0,0,0,0,1
209,2796000,2,42.7,5,5,1962.0,1,0,0,1,0,0,1,0,0,0,0
210,1800000,1,34.4,5,5,1973.0,1,0,1,0,0,0,0,0,0,1,0
211,2700000,1,29.3,15,17,2016.0,1,0,0,1,0,0,0,0,0,1,0
212,4000000,2,44.0,3,9,1983.0,0,1,1,0,1,0,0,0,0,0,0
213,4200000,2,40.0,9,16,2021.0,0,1,0,1,1,0,0,0,0,0,0
214,3600000,2,56.0,2,10,2012.0,0,1,1,0,0,0,0,0,0,1,0
215,4599000,1,41.8,4,10,2007.0,0,1,1,0,0,1,0,0,0,0,0
216,2720000,2,44.3,1,5,1965.0,1,0,0,1,0,0,1,0,0,0,0
217,4590000,1,38.8,6,9,2016.0,0,1,0,1,0,0,0,0,1,0,0
218,2660000,1,37.0,5,9,1989.0,0,1,0,1,0,0,0,0,0,0,1
219,3100000,1,30.4,4,20,2021.0,1,0,0,1,0,1,0,0,0,0,0
220,4400000,3,57.8,5,9,1981.0,1,0,1,0,0,0,1,0,0,0,0
221,3050000,2,48.1,3,5,1969.0,1,0,1,0,0,0,0,0,0,0,1
222,4000000,1,30.5,5,5,1963.0,1,0,0,1,0,0,0,0,0,0,1
223,3120000,1,36.0,7,16,2016.0,0,1,0,1,0,0,1,0,0,0,0
224,3500000,2,42.9,4,5,1965.0,1,0,0,1,0,0,0,0,1,0,0
225,4350000,1,43.0,13,18,2012.0,0,1,0,1,1,0,0,0,0,0,0
226,3130000,1,30.0,2,5,1965.0,1,0,0,1,0,0,0,0,0,0,1
227,3990000,1,42.8,4,25,2017.0,0,1,0,1,0,0,0,0,1,0,0
228,7237000,3,80.0,3,25,2021.0,0,1,1,0,0,0,0,0,0,0,1
229,3200000,2,45.0,2,5,1983.0,1,0,1,0,0,1,0,0,0,0,0
230,3250000,2,55.3,5,17,2012.0,1,0,1,0,0,0,0,0,0,1,0
231,2990000,1,35.0,4,10,1994.0,1,0,1,0,0,0,0,0,1,0,0
232,4500000,2,53.0,2,9,2006.0,0,1,1,0,0,0,0,0,1,0,0
233,3500000,2,44.0,5,5,1962.0,1,0,0,1,1,0,0,0,0,0,0
234,3950000,1,39.0,18,19,2011.0,0,1,0,1,0,0,0,0,1,0,0
235,5000000,3,61.5,10,11,2002.0,0,1,1,0,0,1,0,0,0,0,0
236,3280000,1,41.0,8,10,2016.0,1,0,1,0,0,0,0,0,1,0,0
237,4400000,3,67.0,10,10,2003.0,1,0,1,0,0,0,0,0,1,0,0
238,3150000,2,43.6,3,5,1973.0,1,0,1,0,1,0,0,0,0,0,0
239,2450000,1,20.8,7,9,1983.0,1,0,0,1,1,0,0,0,0,0,0
240,4450000,2,57.5,1,16,1994.0,0,1,1,0,0,1,0,0,0,0,0
241,3600000,1,34.4,3,10,1988.0,0,1,1,0,0,0,0,0,0,0,1
